"DAY","Day_Period","CO2_ppm"
2021-06-01,"morning",NA
2021-06-01,"aftern.",NA
2021-06-02,"morning",NA
2021-06-02,"aftern.",NA
2021-06-03,"morning",NA
2021-06-03,"aftern.",NA
2021-06-04,"morning",NA
2021-06-04,"aftern.",NA
2021-06-05,"morning",NA
2021-06-05,"aftern.",NA
2021-06-06,"morning",NA
2021-06-06,"aftern.",NA
2021-06-07,"morning",NA
2021-06-07,"aftern.",NA
2021-06-08,"morning",NA
2021-06-08,"aftern.",NA
2021-06-09,"morning",NA
2021-06-09,"aftern.",NA
2021-06-10,"morning",NA
2021-06-10,"aftern.",NA
2021-06-11,"morning",NA
2021-06-11,"aftern.",NA
2021-06-12,"morning",NA
2021-06-12,"aftern.",NA
2021-06-13,"morning",NA
2021-06-13,"aftern.",NA
2021-06-14,"morning",NA
2021-06-14,"aftern.",NA
2021-06-15,"morning",NA
2021-06-15,"aftern.",NA
2021-06-16,"morning",NA
2021-06-16,"aftern.",NA
2021-06-17,"morning",7
2021-06-17,"aftern.",NA
2021-06-18,"morning",7
2021-06-18,"aftern.",NA
2021-06-19,"morning",8
2021-06-19,"aftern.",NA
2021-06-20,"morning",NA
2021-06-20,"aftern.",NA
2021-06-21,"morning",8
2021-06-21,"aftern.",6
2021-06-22,"morning",8
2021-06-22,"aftern.",NA
2021-06-23,"morning",8
2021-06-23,"aftern.",NA
2021-06-24,"morning",6
2021-06-24,"aftern.",NA
2021-06-25,"morning",7
2021-06-25,"aftern.",NA
2021-06-26,"morning",NA
2021-06-26,"aftern.",NA
2021-06-27,"morning",NA
2021-06-27,"aftern.",NA
2021-06-28,"morning",8
2021-06-28,"aftern.",NA
2021-06-29,"morning",8
2021-06-29,"aftern.",NA
2021-06-30,"morning",8
2021-06-30,"aftern.",NA
2021-07-01,"morning",NA
2021-07-01,"aftern.",NA
2021-07-02,"morning",8
2021-07-02,"aftern.",NA
2021-07-03,"morning",9
2021-07-03,"aftern.",9
2021-07-04,"morning",8
2021-07-04,"aftern.",NA
2021-07-05,"morning",NA
2021-07-05,"aftern.",NA
2021-07-06,"morning",9
2021-07-06,"aftern.",NA
2021-07-07,"morning",8
2021-07-07,"aftern.",8
2021-07-08,"morning",8
2021-07-08,"aftern.",7
2021-07-09,"morning",7
2021-07-09,"aftern.",NA
2021-07-10,"morning",9
2021-07-10,"aftern.",NA
2021-07-11,"morning",9
2021-07-11,"aftern.",8
2021-07-12,"morning",NA
2021-07-12,"aftern.",NA
2021-07-13,"morning",8
2021-07-13,"aftern.",8
2021-07-14,"morning",9
2021-07-14,"aftern.",NA
2021-07-15,"morning",9
2021-07-15,"aftern.",8
2021-07-16,"morning",8
2021-07-16,"aftern.",NA
2021-07-17,"morning",9
2021-07-17,"aftern.",7
2021-07-18,"morning",9
2021-07-18,"aftern.",NA
2021-07-19,"morning",NA
2021-07-19,"aftern.",NA
2021-07-20,"morning",8
2021-07-20,"aftern.",NA
2021-07-21,"morning",9
2021-07-21,"aftern.",8
2021-07-22,"morning",9
2021-07-22,"aftern.",9
2021-07-23,"morning",9
2021-07-23,"aftern.",9
2021-07-24,"morning",7
2021-07-24,"aftern.",9
2021-07-25,"morning",7
2021-07-25,"aftern.",8
2021-07-26,"morning",NA
2021-07-26,"aftern.",NA
2021-07-27,"morning",8
2021-07-27,"aftern.",9
2021-07-28,"morning",9
2021-07-28,"aftern.",10
2021-07-29,"morning",8
2021-07-29,"aftern.",NA
2021-07-30,"morning",NA
2021-07-30,"aftern.",NA
2021-07-31,"morning",9
2021-07-31,"aftern.",NA
2021-08-01,"morning",9
2021-08-01,"aftern.",NA
2021-08-02,"morning",NA
2021-08-02,"aftern.",NA
2021-08-03,"morning",10
2021-08-03,"aftern.",9
2021-08-04,"morning",10
2021-08-04,"aftern.",10
2021-08-05,"morning",9
2021-08-05,"aftern.",10
2021-08-06,"morning",9
2021-08-06,"aftern.",9
2021-08-07,"morning",10
2021-08-07,"aftern.",9
2021-08-08,"morning",10
2021-08-08,"aftern.",NA
2021-08-09,"morning",NA
2021-08-09,"aftern.",NA
2021-08-10,"morning",10
2021-08-10,"aftern.",10
2021-08-11,"morning",11
2021-08-11,"aftern.",10
2021-08-12,"morning",11
2021-08-12,"aftern.",10
2021-08-13,"morning",10
2021-08-13,"aftern.",11
2021-08-14,"morning",10
2021-08-14,"aftern.",NA
2021-08-15,"morning",10
2021-08-15,"aftern.",NA
2021-08-16,"morning",NA
2021-08-16,"aftern.",NA
2021-08-17,"morning",10
2021-08-17,"aftern.",NA
2021-08-18,"morning",10
2021-08-18,"aftern.",NA
2021-08-19,"morning",10
2021-08-19,"aftern.",NA
2021-08-20,"morning",11
2021-08-20,"aftern.",NA
2021-08-21,"morning",11
2021-08-21,"aftern.",NA
2021-08-22,"morning",NA
2021-08-22,"aftern.",NA
2021-08-23,"morning",NA
2021-08-23,"aftern.",NA
2021-08-24,"morning",10
2021-08-24,"aftern.",NA
2021-08-25,"morning",11
2021-08-25,"aftern.",NA
2021-08-26,"morning",10
2021-08-26,"aftern.",NA
2021-08-27,"morning",12
2021-08-27,"aftern.",NA
2021-08-28,"morning",11
2021-08-28,"aftern.",NA
2021-08-29,"morning",6
2021-08-29,"aftern.",NA
2021-08-30,"morning",NA
2021-08-30,"aftern.",NA
2021-08-31,"morning",10
2021-08-31,"aftern.",NA
2021-09-01,"morning",9
2021-09-01,"aftern.",NA
2021-09-02,"morning",8
2021-09-02,"aftern.",NA
2021-09-03,"morning",NA
2021-09-03,"aftern.",NA
2021-09-04,"morning",NA
2021-09-04,"aftern.",NA
2021-09-05,"morning",NA
2021-09-05,"aftern.",NA
2021-09-06,"morning",NA
2021-09-06,"aftern.",NA
2021-09-07,"morning",NA
2021-09-07,"aftern.",NA
2021-09-08,"morning",NA
2021-09-08,"aftern.",NA
2021-09-09,"morning",NA
2021-09-09,"aftern.",NA
2021-09-10,"morning",NA
2021-09-10,"aftern.",NA
2021-09-11,"morning",8
2021-09-11,"aftern.",9
2021-09-12,"morning",8
2021-09-12,"aftern.",NA
2021-09-13,"morning",NA
2021-09-13,"aftern.",NA
2021-09-14,"morning",10
2021-09-14,"aftern.",8
2021-09-15,"morning",9
2021-09-15,"aftern.",9
2021-09-16,"morning",8
2021-09-16,"aftern.",8
2021-09-17,"morning",10
2021-09-17,"aftern.",9
2021-09-18,"morning",9
2021-09-18,"aftern.",11
2021-09-19,"morning",10
2021-09-19,"aftern.",NA
2021-09-20,"morning",NA
2021-09-20,"aftern.",NA
2021-09-21,"morning",10
2021-09-21,"aftern.",9
2021-09-22,"morning",10
2021-09-22,"aftern.",10
2021-09-23,"morning",9
2021-09-23,"aftern.",10
2021-09-24,"morning",8
2021-09-24,"aftern.",10
2021-09-25,"morning",11
2021-09-25,"aftern.",10
2021-09-26,"morning",11
2021-09-26,"aftern.",NA
2021-09-27,"morning",NA
2021-09-27,"aftern.",NA
2021-09-28,"morning",11
2021-09-28,"aftern.",11
2021-09-29,"morning",10
2021-09-29,"aftern.",11
2021-09-30,"morning",10
2021-09-30,"aftern.",11
2021-10-01,"morning",11
2021-10-01,"aftern.",11
2021-10-02,"morning",NA
2021-10-02,"aftern.",NA
2021-10-03,"morning",11
2021-10-03,"aftern.",NA
2021-10-04,"morning",10
2021-10-04,"aftern.",11
2021-10-05,"morning",NA
2021-10-05,"aftern.",NA
2021-10-06,"morning",12
2021-10-06,"aftern.",11
2021-10-07,"morning",11
2021-10-07,"aftern.",11
2021-10-08,"morning",10
2021-10-08,"aftern.",NA
2021-10-09,"morning",NA
2021-10-09,"aftern.",NA
2021-10-10,"morning",NA
2021-10-10,"aftern.",NA
2021-10-11,"morning",17
2021-10-11,"aftern.",NA
2021-10-12,"morning",17
2021-10-12,"aftern.",NA
2021-10-13,"morning",17
2021-10-13,"aftern.",16
2021-10-14,"morning",17
2021-10-14,"aftern.",17
2021-10-15,"morning",15
2021-10-15,"aftern.",16
2021-10-16,"morning",17
