"DAY","kg_feed_day-1"
2021-06-01,58.7
2021-06-02,58.7
2021-06-03,58.7
2021-06-04,64.57
2021-06-05,64.57
2021-06-06,64.57
2021-06-07,64.57
2021-06-08,64.57
2021-06-09,64.57
2021-06-10,64.57
2021-06-11,70.44
2021-06-12,70.44
2021-06-13,70.44
2021-06-14,70.44
2021-06-15,70.44
2021-06-16,0
2021-06-17,0
2021-06-18,0
2021-06-19,35.22
2021-06-20,70.44
2021-06-21,35.22
2021-06-22,35.22
2021-06-23,70.44
2021-06-24,70.44
2021-06-25,35.22
2021-06-26,0
2021-06-27,35.22
2021-06-28,70.44
2021-06-29,88.05
2021-06-30,46.96
2021-07-01,37.79
2021-07-02,33.06
2021-07-03,33.06
2021-07-04,70.85
2021-07-05,70.85
2021-07-06,70.85
2021-07-07,37.79
2021-07-08,70.85
2021-07-09,70.85
2021-07-10,70.85
2021-07-11,70.85
2021-07-12,37.79
2021-07-13,70.85
2021-07-14,70.85
2021-07-15,70.85
2021-07-16,70.85
2021-07-17,80.3
2021-07-18,80.3
2021-07-19,80.3
2021-07-20,42.51
2021-07-21,80.3
2021-07-22,80.3
2021-07-23,80.3
2021-07-24,80.3
2021-07-25,80.3
2021-07-26,80.3
2021-07-27,80.3
2021-07-28,80.3
2021-07-29,80.3
2021-07-30,89.75
2021-07-31,89.75
2021-08-01,97.85
2021-08-02,97.85
2021-08-03,97.85
2021-08-04,97.85
2021-08-05,97.85
2021-08-06,97.85
2021-08-07,97.85
2021-08-08,97.85
2021-08-09,97.85
2021-08-10,97.85
2021-08-11,97.85
2021-08-12,97.85
2021-08-13,97.85
2021-08-14,108.15
2021-08-15,108.15
2021-08-16,108.15
2021-08-17,108.15
2021-08-18,108.15
2021-08-19,108.15
2021-08-20,108.15
2021-08-21,118.45
2021-08-22,118.45
2021-08-23,118.45
2021-08-24,118.45
2021-08-25,118.45
2021-08-26,118.45
2021-08-27,118.45
2021-08-28,118.45
2021-08-29,118.45
2021-08-30,118.45
2021-08-31,118.45
2021-09-01,127.2
2021-09-02,127.2
2021-09-03,127.2
2021-09-04,138.3
2021-09-05,138.3
2021-09-06,138.3
2021-09-07,138.3
2021-09-08,105.1
2021-09-09,138.3
2021-09-10,102.9
2021-09-11,149.3
2021-09-12,77.4
2021-09-13,71.9
2021-09-14,149.3
2021-09-15,149.3
2021-09-16,149.3
2021-09-17,149.3
2021-09-18,83
2021-09-19,154.8
2021-09-20,154.8
2021-09-21,154.8
2021-09-22,71.9
2021-09-23,154.8
2021-09-24,154.8
2021-09-25,160.4
2021-09-26,160.4
2021-09-27,160.4
2021-09-28,160.4
2021-09-29,165.9
2021-09-30,165.9
2021-10-01,154.3
2021-10-02,154.3
2021-10-03,154.3
2021-10-04,79.8
2021-10-05,0
2021-10-06,0
2021-10-07,0
2021-10-08,122.4
2021-10-09,161.8
2021-10-10,166
2021-10-11,166
2021-10-12,166
2021-10-13,166
2021-10-14,166
2021-10-15,166
2021-10-16,166
2021-10-17,166
2021-10-18,166
2021-10-19,166
2021-10-20,172.4
2021-10-21,172.4
2021-10-22,172.4
2021-10-23,89.4
2021-10-24,172.4
2021-10-25,172.4
2021-10-26,89.4
2021-10-27,89.4
2021-10-28,172.4
2021-10-29,172.4
2021-10-30,172.4
2021-10-31,172.43
