"Group.1","x"
2021-06-01,NA
2021-06-02,NA
2021-06-03,NA
2021-06-04,NA
2021-06-05,NA
2021-06-06,NA
2021-06-07,NA
2021-06-08,NA
2021-06-09,NA
2021-06-10,NA
2021-06-11,NA
2021-06-12,NA
2021-06-13,NA
2021-06-14,NA
2021-06-15,NA
2021-06-16,NA
2021-06-17,NA
2021-06-18,NA
2021-06-19,NA
2021-06-20,NA
2021-06-21,7
2021-06-22,NA
2021-06-23,NA
2021-06-24,NA
2021-06-25,NA
2021-06-26,NA
2021-06-27,NA
2021-06-28,NA
2021-06-29,NA
2021-06-30,NA
2021-07-01,NA
2021-07-02,NA
2021-07-03,9
2021-07-04,NA
2021-07-05,NA
2021-07-06,NA
2021-07-07,8
2021-07-08,7.5
2021-07-09,NA
2021-07-10,NA
2021-07-11,8.5
2021-07-12,NA
2021-07-13,8
2021-07-14,NA
2021-07-15,8.5
2021-07-16,NA
2021-07-17,8
2021-07-18,NA
2021-07-19,NA
2021-07-20,NA
2021-07-21,8.5
2021-07-22,9
2021-07-23,9
2021-07-24,8
2021-07-25,7.5
2021-07-26,NA
2021-07-27,8.5
2021-07-28,9.5
2021-07-29,NA
2021-07-30,NA
2021-07-31,NA
2021-08-01,NA
2021-08-02,NA
2021-08-03,9.5
2021-08-04,10
2021-08-05,9.5
2021-08-06,9
2021-08-07,9.5
2021-08-08,NA
2021-08-09,NA
2021-08-10,10
2021-08-11,10.5
2021-08-12,10.5
2021-08-13,10.5
2021-08-14,NA
2021-08-15,NA
2021-08-16,NA
2021-08-17,NA
2021-08-18,NA
2021-08-19,NA
2021-08-20,NA
2021-08-21,NA
2021-08-22,NA
2021-08-23,NA
2021-08-24,NA
2021-08-25,NA
2021-08-26,NA
2021-08-27,NA
2021-08-28,NA
2021-08-29,NA
2021-08-30,NA
2021-08-31,NA
2021-09-01,NA
2021-09-02,NA
2021-09-03,NA
2021-09-04,NA
2021-09-05,NA
2021-09-06,NA
2021-09-07,NA
2021-09-08,NA
2021-09-09,NA
2021-09-10,NA
2021-09-11,8.5
2021-09-12,NA
2021-09-13,NA
2021-09-14,9
2021-09-15,9
2021-09-16,8
2021-09-17,9.5
2021-09-18,10
2021-09-19,NA
2021-09-20,NA
2021-09-21,9.5
2021-09-22,10
2021-09-23,9.5
2021-09-24,9
2021-09-25,10.5
2021-09-26,NA
2021-09-27,NA
2021-09-28,11
2021-09-29,10.5
2021-09-30,10.5
2021-10-01,11
2021-10-02,NA
2021-10-03,NA
2021-10-04,10.5
2021-10-05,NA
2021-10-06,11.5
2021-10-07,11
2021-10-08,NA
2021-10-09,NA
2021-10-10,NA
2021-10-11,NA
2021-10-12,NA
2021-10-13,16.5
2021-10-14,17
2021-10-15,15.5
2021-10-16,NA
2021-10-17,16
2021-10-18,NA
2021-10-19,NA
2021-10-20,15.5
2021-10-21,16.5
2021-10-22,16
2021-10-23,17
2021-10-24,15.5
2021-10-25,NA
2021-10-26,NA
2021-10-27,15.5
2021-10-28,16.5
2021-10-29,17
2021-10-30,NA
2021-10-31,17.5
2021-11-01,NA
2021-11-02,NA
