"timestamp","CO2_ppm"
2020-07-01 10:00:00,NA
2020-07-01 16:00:00,NA
2020-07-02 10:00:00,9
2020-07-02 16:00:00,8
2020-07-03 10:00:00,11
2020-07-03 16:00:00,NA
2020-07-04 10:00:00,11
2020-07-04 16:00:00,NA
2020-07-05 10:00:00,NA
2020-07-05 16:00:00,NA
2020-07-06 10:00:00,12
2020-07-06 16:00:00,12
2020-07-07 10:00:00,8
2020-07-07 16:00:00,7
2020-07-08 10:00:00,7
2020-07-08 16:00:00,12
2020-07-09 10:00:00,12
2020-07-09 16:00:00,12
2020-07-10 10:00:00,8
2020-07-10 16:00:00,11
2020-07-11 10:00:00,12
2020-07-11 16:00:00,NA
2020-07-12 10:00:00,11
2020-07-12 16:00:00,NA
2020-07-13 10:00:00,13
2020-07-13 16:00:00,9
2020-07-14 10:00:00,8
2020-07-14 16:00:00,10
2020-07-15 10:00:00,13
2020-07-15 16:00:00,NA
2020-07-16 10:00:00,12
2020-07-16 16:00:00,15
2020-07-17 10:00:00,13
2020-07-17 16:00:00,13
2020-07-18 10:00:00,7
2020-07-18 16:00:00,NA
2020-07-19 10:00:00,9
2020-07-19 16:00:00,NA
2020-07-20 10:00:00,10
2020-07-20 16:00:00,NA
2020-07-21 10:00:00,11
2020-07-21 16:00:00,12
2020-07-22 10:00:00,10
2020-07-22 16:00:00,12
2020-07-23 10:00:00,NA
2020-07-23 16:00:00,4
2020-07-24 10:00:00,7
2020-07-24 16:00:00,NA
2020-07-25 10:00:00,5
2020-07-25 16:00:00,NA
2020-07-26 10:00:00,NA
2020-07-26 16:00:00,NA
2020-07-27 10:00:00,9
2020-07-27 16:00:00,10
2020-07-28 10:00:00,8
2020-07-28 16:00:00,11
2020-07-29 10:00:00,8
2020-07-29 16:00:00,10
2020-07-30 10:00:00,13
2020-07-30 16:00:00,NA
2020-07-31 10:00:00,6
2020-07-31 16:00:00,10
2020-08-01 10:00:00,10
2020-08-01 16:00:00,NA
2020-08-02 10:00:00,NA
2020-08-02 16:00:00,NA
2020-08-03 10:00:00,11
2020-08-03 16:00:00,10
2020-08-04 10:00:00,8
2020-08-04 16:00:00,11
2020-08-05 10:00:00,10
2020-08-05 16:00:00,10
2020-08-06 10:00:00,10
2020-08-06 16:00:00,11
2020-08-07 10:00:00,5
2020-08-07 16:00:00,NA
2020-08-08 10:00:00,11
2020-08-08 16:00:00,NA
2020-08-09 10:00:00,NA
2020-08-09 16:00:00,NA
2020-08-10 10:00:00,8
2020-08-10 16:00:00,10
2020-08-11 10:00:00,11
2020-08-11 16:00:00,NA
2020-08-12 10:00:00,7
2020-08-12 16:00:00,NA
2020-08-13 10:00:00,10
2020-08-13 16:00:00,13
2020-08-14 10:00:00,11
2020-08-14 16:00:00,10
2020-08-15 10:00:00,6
2020-08-15 16:00:00,NA
2020-08-16 10:00:00,8
2020-08-16 16:00:00,NA
2020-08-17 10:00:00,9
2020-08-17 16:00:00,10
2020-08-18 10:00:00,9
2020-08-18 16:00:00,NA
2020-08-19 10:00:00,11
2020-08-19 16:00:00,10
2020-08-20 10:00:00,10
2020-08-20 16:00:00,10
2020-08-21 10:00:00,14
2020-08-21 16:00:00,NA
2020-08-22 10:00:00,NA
2020-08-22 16:00:00,NA
2020-08-23 10:00:00,8
2020-08-23 16:00:00,10
2020-08-24 10:00:00,10
2020-08-24 16:00:00,NA
2020-08-25 10:00:00,9
2020-08-25 16:00:00,10
2020-08-26 10:00:00,10
2020-08-26 16:00:00,NA
2020-08-27 10:00:00,10
2020-08-27 16:00:00,NA
2020-08-28 10:00:00,12
2020-08-28 16:00:00,NA
2020-08-29 10:00:00,13
2020-08-29 16:00:00,NA
2020-08-30 10:00:00,NA
2020-08-30 16:00:00,NA
2020-08-31 10:00:00,NA
2020-08-31 16:00:00,10
2020-09-01 10:00:00,10
2020-09-01 16:00:00,10
2020-09-02 10:00:00,9
2020-09-02 16:00:00,10
2020-09-03 10:00:00,12
2020-09-03 16:00:00,10
2020-09-04 10:00:00,10
2020-09-04 16:00:00,12
2020-09-05 10:00:00,12
2020-09-05 16:00:00,NA
2020-09-06 10:00:00,11
2020-09-06 16:00:00,NA
