"TIME","K.kg/m^3"
2020-07-27 00:12:00,0.154
2020-07-27 00:27:00,0.155
2020-07-27 00:42:00,0.154
2020-07-27 00:57:00,0.155
2020-07-27 01:12:00,0.155
2020-07-27 01:27:00,0.155
2020-07-27 01:42:00,0.155
2020-07-27 01:57:00,0.155
2020-07-27 02:12:00,0.156
2020-07-27 02:27:00,0.156
2020-07-27 02:42:00,0.156
2020-07-27 02:57:00,0.156
2020-07-27 03:12:00,0.156
2020-07-27 03:27:00,0.156
2020-07-27 03:42:00,0.156
2020-07-27 03:57:00,0.156
2020-07-27 04:12:00,0.156
2020-07-27 04:27:00,0.156
2020-07-27 04:42:00,0.157
2020-07-27 04:57:00,0.157
2020-07-27 05:12:00,0.157
2020-07-27 05:27:00,0.157
2020-07-27 05:42:00,0.157
2020-07-27 05:57:00,0.157
2020-07-27 06:12:00,0.157
2020-07-27 06:27:00,0.157
2020-07-27 06:42:00,0.157
2020-07-27 06:57:00,0.157
2020-07-27 07:12:00,0.157
2020-07-27 07:27:00,0.157
2020-07-27 07:42:00,0.157
2020-07-27 07:57:00,0.157
2020-07-27 08:12:00,0.156
2020-07-27 08:27:00,0.156
2020-07-27 08:42:00,0.155
2020-07-27 08:57:00,0.0587
2020-07-27 09:12:00,0.155
2020-07-27 09:27:00,0.155
2020-07-27 09:42:00,0.155
2020-07-27 09:57:00,0.154
2020-07-27 10:12:00,0.154
2020-07-27 10:27:00,0.153
2020-07-27 10:42:00,0.152
2020-07-27 10:57:00,0.152
2020-07-27 11:12:00,0.151
2020-07-27 11:27:00,0.151
2020-07-27 11:42:00,0.15
2020-07-27 11:57:00,0.15
2020-07-27 12:12:00,0.149
2020-07-27 12:27:00,0.149
2020-07-27 12:42:00,0.148
2020-07-27 12:57:00,0.148
2020-07-27 13:12:00,0.148
2020-07-27 13:27:00,0.147
2020-07-27 13:42:00,0.147
2020-07-27 13:57:00,0.147
2020-07-27 14:12:00,0.146
2020-07-27 14:27:00,0.146
2020-07-27 14:42:00,0.146
2020-07-27 14:57:00,0.146
2020-07-27 15:12:00,0.146
2020-07-27 15:27:00,0.146
2020-07-27 15:42:00,0.146
2020-07-27 15:57:00,0.146
2020-07-27 16:12:00,0.146
2020-07-27 16:27:00,0.145
2020-07-27 16:42:00,0.147
2020-07-27 16:57:00,0.147
2020-07-27 17:12:00,0.147
2020-07-27 17:27:00,0.148
2020-07-27 17:42:00,0.148
2020-07-27 17:57:00,0.148
2020-07-27 18:12:00,0.148
2020-07-27 18:27:00,0.148
2020-07-27 18:42:00,0.149
2020-07-27 18:57:00,0.149
2020-07-27 19:12:00,0.149
2020-07-27 19:27:00,0.149
2020-07-27 19:42:00,0.149
2020-07-27 19:57:00,0.149
2020-07-27 20:12:00,0.15
2020-07-27 20:27:00,0.15
2020-07-27 20:42:00,0.15
2020-07-27 20:57:00,0.151
2020-07-27 21:12:00,0.151
2020-07-27 21:27:00,0.151
2020-07-27 21:42:00,0.152
2020-07-27 21:57:00,0.152
2020-07-27 22:12:00,0.152
2020-07-27 22:27:00,0.152
2020-07-27 22:42:00,0.153
2020-07-27 22:57:00,0.153
2020-07-27 23:12:00,0.153
2020-07-27 23:27:00,0.153
2020-07-27 23:42:00,0.153
2020-07-27 23:57:00,0.154
2020-07-28 00:12:00,0.154
2020-07-28 00:27:00,0.154
2020-07-28 00:42:00,0.155
2020-07-28 00:57:00,0.155
2020-07-28 01:12:00,0.155
2020-07-28 01:27:00,0.155
2020-07-28 01:42:00,0.155
2020-07-28 01:57:00,0.155
2020-07-28 02:12:00,0.155
2020-07-28 02:27:00,0.155
2020-07-28 02:42:00,0.155
2020-07-28 02:57:00,0.156
2020-07-28 03:12:00,0.155
2020-07-28 03:27:00,0.155
2020-07-28 03:42:00,0.156
2020-07-28 03:57:00,0.156
2020-07-28 04:12:00,0.156
2020-07-28 04:27:00,0.155
2020-07-28 04:42:00,0.155
2020-07-28 04:57:00,0.155
2020-07-28 05:12:00,0.155
2020-07-28 05:27:00,0.155
2020-07-28 05:42:00,0.155
2020-07-28 05:57:00,0.156
2020-07-28 06:12:00,0.156
2020-07-28 06:27:00,0.157
2020-07-28 06:42:00,0.157
2020-07-28 06:57:00,0.157
2020-07-28 07:12:00,0.157
2020-07-28 07:27:00,0.157
2020-07-28 07:42:00,0.156
2020-07-28 07:57:00,0.155
2020-07-28 08:12:00,0.155
2020-07-28 08:27:00,0.155
2020-07-28 08:42:00,0.155
2020-07-28 08:57:00,0.154
2020-07-28 09:12:00,0.153
2020-07-28 09:27:00,0.153
2020-07-28 09:42:00,0.153
2020-07-28 09:57:00,0.152
2020-07-28 10:12:00,0.152
2020-07-28 10:27:00,0.153
2020-07-28 10:42:00,0.152
2020-07-28 10:57:00,0.151
2020-07-28 11:12:00,0.151
2020-07-28 11:27:00,0.15
2020-07-28 11:42:00,0.15
2020-07-28 11:57:00,0.149
2020-07-28 12:12:00,0.148
2020-07-28 12:27:00,0.148
2020-07-28 12:42:00,0.147
2020-07-28 12:57:00,0.147
2020-07-28 13:12:00,0.147
2020-07-28 13:27:00,0.146
2020-07-28 13:42:00,0.146
2020-07-28 13:57:00,0.146
2020-07-28 14:12:00,0.146
2020-07-28 14:27:00,0.146
2020-07-28 14:42:00,0.146
2020-07-28 14:57:00,0.146
2020-07-28 15:12:00,0.146
2020-07-28 15:27:00,0.146
2020-07-28 15:42:00,0.146
2020-07-28 15:57:00,0.146
2020-07-28 16:12:00,0.146
2020-07-28 16:27:00,0.147
2020-07-28 16:42:00,0.147
2020-07-28 16:57:00,0.147
2020-07-28 17:12:00,0.147
2020-07-28 17:27:00,0.148
2020-07-28 17:42:00,0.148
2020-07-28 17:57:00,0.148
2020-07-28 18:12:00,0.148
2020-07-28 18:27:00,0.149
2020-07-28 18:42:00,0.149
2020-07-28 18:57:00,0.149
2020-07-28 19:12:00,0.149
2020-07-28 19:27:00,0.15
2020-07-28 19:42:00,0.15
2020-07-28 19:57:00,0.15
2020-07-28 20:12:00,0.151
2020-07-28 20:27:00,0.151
2020-07-28 20:42:00,0.151
2020-07-28 20:57:00,0.152
2020-07-28 21:12:00,0.152
2020-07-28 21:27:00,0.152
2020-07-28 21:42:00,0.152
2020-07-28 21:57:00,0.153
2020-07-28 22:12:00,0.153
2020-07-28 22:27:00,0.153
2020-07-28 22:42:00,0.153
2020-07-28 22:57:00,0.154
2020-07-28 23:12:00,0.154
2020-07-28 23:27:00,0.154
2020-07-28 23:42:00,0.154
2020-07-28 23:57:00,0.154
2020-07-29 00:12:00,0.155
2020-07-29 00:27:00,0.155
2020-07-29 00:42:00,0.155
2020-07-29 00:57:00,0.155
2020-07-29 01:12:00,0.155
2020-07-29 01:27:00,0.155
2020-07-29 01:42:00,0.155
2020-07-29 01:57:00,0.155
2020-07-29 02:12:00,0.156
2020-07-29 02:27:00,0.156
2020-07-29 02:42:00,0.156
2020-07-29 02:57:00,0.156
2020-07-29 03:12:00,0.156
2020-07-29 03:27:00,0.156
2020-07-29 03:42:00,0.156
2020-07-29 03:57:00,0.156
2020-07-29 04:12:00,0.156
2020-07-29 04:27:00,0.156
2020-07-29 04:42:00,0.156
2020-07-29 04:57:00,0.156
2020-07-29 05:12:00,0.156
2020-07-29 05:27:00,0.156
2020-07-29 05:42:00,0.156
2020-07-29 05:57:00,0.156
2020-07-29 06:12:00,0.157
2020-07-29 06:27:00,0.157
2020-07-29 06:42:00,0.157
2020-07-29 06:57:00,0.157
2020-07-29 07:12:00,0.157
2020-07-29 07:27:00,0.157
2020-07-29 07:42:00,0.156
2020-07-29 07:57:00,0.156
2020-07-29 08:12:00,0.156
2020-07-29 08:27:00,0.156
2020-07-29 08:42:00,0.155
2020-07-29 08:57:00,0.155
2020-07-29 09:12:00,0.155
2020-07-29 09:27:00,0.154
2020-07-29 09:42:00,0.154
2020-07-29 09:57:00,0.154
2020-07-29 10:12:00,0.153
2020-07-29 10:27:00,0.153
2020-07-29 10:42:00,0.152
2020-07-29 10:57:00,0.152
2020-07-29 11:12:00,0.151
2020-07-29 11:27:00,0.151
2020-07-29 11:42:00,0.15
2020-07-29 11:57:00,0.149
2020-07-29 12:12:00,0.149
2020-07-29 12:27:00,0.148
2020-07-29 12:42:00,0.148
2020-07-29 12:57:00,0.147
2020-07-29 13:12:00,0.147
2020-07-29 13:27:00,0.147
2020-07-29 13:42:00,0.146
2020-07-29 13:57:00,0.146
2020-07-29 14:12:00,0.146
