"TIME","Oxy.kg/m^3"
2020-07-27 00:13:00,0.00617
2020-07-27 00:28:00,0.00587
2020-07-27 00:43:00,0.00601
2020-07-27 00:58:00,0.00614
2020-07-27 01:13:00,0.00627
2020-07-27 01:28:00,0.00617
2020-07-27 01:43:00,0.00629
2020-07-27 01:58:00,0.00648
2020-07-27 02:13:00,0.006
2020-07-27 02:28:00,0.00636
2020-07-27 02:43:00,0.00621
2020-07-27 02:58:00,0.0065
2020-07-27 03:13:00,0.00651
2020-07-27 03:28:00,0.0067
2020-07-27 03:43:00,0.00659
2020-07-27 03:58:00,0.00598
2020-07-27 04:13:00,0.00633
2020-07-27 04:28:00,0.00656
2020-07-27 04:43:00,0.00654
2020-07-27 04:58:00,0.0068
2020-07-27 05:13:00,0.00616
2020-07-27 05:28:00,0.00621
2020-07-27 05:43:00,0.0066
2020-07-27 05:58:00,0.00641
2020-07-27 06:13:00,0.00659
2020-07-27 06:28:00,0.00658
2020-07-27 06:43:00,0.00702
2020-07-27 06:58:00,0.00779
2020-07-27 07:13:00,0.00738
2020-07-27 07:28:00,0.0075
2020-07-27 07:43:00,0.009
2020-07-27 07:58:00,0.00874
2020-07-27 08:13:00,0.00893
2020-07-27 08:28:00,0.00864
2020-07-27 08:43:00,0.00921
2020-07-27 08:58:00,0.00948
2020-07-27 09:13:00,0.00983
2020-07-27 09:28:00,0.00832
2020-07-27 09:43:00,0.0083
2020-07-27 09:58:00,0.00766
2020-07-27 10:13:00,0.00739
2020-07-27 10:28:00,0.00733
2020-07-27 10:43:00,0.00733
2020-07-27 10:58:00,0.00722
2020-07-27 11:13:00,0.00701
2020-07-27 11:28:00,0.0106
2020-07-27 11:43:00,0.0108
2020-07-27 11:58:00,0.011
2020-07-27 12:13:00,0.0111
2020-07-27 12:28:00,0.0112
2020-07-27 12:43:00,0.0112
2020-07-27 12:58:00,0.0111
2020-07-27 13:13:00,0.0112
2020-07-27 13:28:00,0.0112
2020-07-27 13:43:00,0.0111
2020-07-27 13:58:00,0.0107
2020-07-27 14:13:00,0.0112
2020-07-27 14:28:00,0.0109
2020-07-27 14:43:00,0.00988
2020-07-27 14:58:00,0.00899
2020-07-27 15:13:00,0.00834
2020-07-27 15:28:00,0.00858
2020-07-27 15:43:00,0.00829
2020-07-27 15:58:00,0.00854
2020-07-27 16:13:00,0.00836
2020-07-27 16:28:00,0.0086
2020-07-27 16:43:00,0.0084
2020-07-27 16:58:00,0.00818
2020-07-27 17:13:00,0.00828
2020-07-27 17:28:00,0.00789
2020-07-27 17:43:00,0.00763
2020-07-27 17:58:00,0.00758
2020-07-27 18:13:00,0.00751
2020-07-27 18:28:00,0.00745
2020-07-27 18:43:00,0.00712
2020-07-27 18:58:00,0.00697
2020-07-27 19:13:00,0.0069
2020-07-27 19:28:00,0.00603
2020-07-27 19:43:00,0.00548
2020-07-27 19:58:00,0.00547
2020-07-27 20:13:00,0.00487
2020-07-27 20:28:00,0.00699
2020-07-27 20:43:00,0.00687
2020-07-27 20:58:00,0.00664
2020-07-27 21:13:00,0.00694
2020-07-27 21:28:00,0.0073
2020-07-27 21:43:00,0.00721
2020-07-27 21:58:00,0.00719
2020-07-27 22:13:00,0.00696
2020-07-27 22:28:00,0.00752
2020-07-27 22:43:00,0.00648
2020-07-27 22:58:00,0.00655
2020-07-27 23:13:00,0.00754
2020-07-27 23:28:00,0.00692
2020-07-27 23:43:00,0.00799
2020-07-27 23:58:00,0.00836
2020-07-28 00:13:00,0.00722
2020-07-28 00:28:00,0.00662
2020-07-28 00:43:00,0.00754
2020-07-28 00:58:00,0.00835
2020-07-28 01:13:00,0.00782
2020-07-28 01:28:00,0.00863
2020-07-28 01:43:00,0.00869
2020-07-28 01:58:00,0.00859
2020-07-28 02:13:00,0.00815
2020-07-28 02:28:00,0.00835
2020-07-28 02:43:00,0.00784
2020-07-28 02:58:00,0.00774
2020-07-28 03:13:00,0.00788
2020-07-28 03:28:00,0.00847
2020-07-28 03:43:00,0.00827
2020-07-28 03:58:00,0.0091
2020-07-28 04:13:00,0.00895
2020-07-28 04:28:00,0.00796
2020-07-28 04:43:00,0.00771
2020-07-28 04:58:00,0.00815
2020-07-28 05:13:00,0.00861
2020-07-28 05:28:00,0.00853
2020-07-28 05:43:00,0.00827
2020-07-28 05:58:00,0.00775
2020-07-28 06:13:00,0.00828
2020-07-28 06:28:00,0.0083
2020-07-28 06:43:00,0.00834
2020-07-28 06:58:00,0.00899
2020-07-28 07:13:00,0.00857
2020-07-28 07:28:00,0.00971
2020-07-28 07:43:00,0.0102
2020-07-28 07:58:00,0.00908
2020-07-28 08:13:00,0.00866
2020-07-28 08:28:00,0.00868
2020-07-28 08:43:00,0.00938
2020-07-28 08:58:00,0.00967
2020-07-28 09:13:00,0.0097
2020-07-28 09:28:00,0.0099
