"timestamp","CO2_ppm"
2020-12-01 10:00:00,16
2020-12-01 16:00:00,NA
2020-12-02 10:00:00,16
2020-12-02 16:00:00,NA
2020-12-03 10:00:00,16
2020-12-03 16:00:00,NA
2020-12-04 10:00:00,16
2020-12-04 16:00:00,16
2020-12-05 10:00:00,17
2020-12-05 16:00:00,NA
2020-12-06 10:00:00,NA
2020-12-06 16:00:00,NA
2020-12-07 10:00:00,17
2020-12-07 16:00:00,16
2020-12-08 10:00:00,17
2020-12-08 16:00:00,NA
2020-12-09 10:00:00,17
2020-12-09 16:00:00,NA
2020-12-10 10:00:00,17
2020-12-10 16:00:00,18
2020-12-11 10:00:00,17
2020-12-11 16:00:00,18
2020-12-12 10:00:00,17
2020-12-12 16:00:00,17
2020-12-13 10:00:00,NA
2020-12-13 16:00:00,NA
2020-12-14 10:00:00,17
2020-12-14 16:00:00,18
2020-12-15 10:00:00,17
2020-12-15 16:00:00,17
2020-12-16 10:00:00,17
2020-12-16 16:00:00,NA
2020-12-17 10:00:00,16
2020-12-17 16:00:00,15
2020-12-18 10:00:00,17
2020-12-18 16:00:00,16
2020-12-19 10:00:00,17
2020-12-19 16:00:00,18
2020-12-20 10:00:00,16
2020-12-20 16:00:00,NA
2020-12-21 10:00:00,17
2020-12-21 16:00:00,17
2020-12-22 10:00:00,16
2020-12-22 16:00:00,16
2020-12-23 10:00:00,16
2020-12-23 16:00:00,NA
2020-12-24 10:00:00,16
2020-12-24 16:00:00,NA
2020-12-25 10:00:00,15
2020-12-25 16:00:00,NA
2020-12-26 10:00:00,NA
2020-12-26 16:00:00,NA
2020-12-27 10:00:00,15
2020-12-27 16:00:00,NA
2020-12-28 10:00:00,13
2020-12-28 16:00:00,NA
2020-12-29 10:00:00,14
2020-12-29 16:00:00,15
2020-12-30 10:00:00,14
2020-12-30 16:00:00,16
2020-12-31 10:00:00,16
2020-12-31 16:00:00,16
2021-01-01 10:00:00,NA
2021-01-01 16:00:00,NA
2021-01-02 10:00:00,16
2021-01-02 16:00:00,14
2021-01-03 10:00:00,15
2021-01-03 16:00:00,NA
2021-01-04 10:00:00,14
2021-01-04 16:00:00,15
2021-01-05 10:00:00,14
2021-01-05 16:00:00,16
2021-01-06 10:00:00,NA
2021-01-06 16:00:00,NA
2021-01-07 10:00:00,15
2021-01-07 16:00:00,NA
2021-01-08 10:00:00,18
2021-01-08 16:00:00,NA
2021-01-09 10:00:00,NA
2021-01-09 16:00:00,NA
2021-01-10 10:00:00,17
2021-01-10 16:00:00,NA
2021-01-11 10:00:00,17
2021-01-11 16:00:00,17
2021-01-12 10:00:00,19
2021-01-12 16:00:00,16
2021-01-13 10:00:00,16
2021-01-13 16:00:00,16
2021-01-14 10:00:00,17
2021-01-14 16:00:00,16
2021-01-15 10:00:00,17
2021-01-15 16:00:00,16
2021-01-16 10:00:00,17
2021-01-16 16:00:00,NA
2021-01-17 10:00:00,NA
2021-01-17 16:00:00,NA
2021-01-18 10:00:00,16
2021-01-18 16:00:00,18
2021-01-19 10:00:00,18
2021-01-19 16:00:00,19
2021-01-20 10:00:00,18
2021-01-20 16:00:00,17
2021-01-21 10:00:00,18
2021-01-21 16:00:00,19
2021-01-22 10:00:00,18
2021-01-22 16:00:00,15
2021-01-23 10:00:00,17
2021-01-23 16:00:00,17
2021-01-24 10:00:00,NA
2021-01-24 16:00:00,NA
2021-01-25 10:00:00,17
2021-01-25 16:00:00,16
2021-01-26 10:00:00,17
2021-01-26 16:00:00,NA
2021-01-27 10:00:00,18
2021-01-27 16:00:00,18
2021-01-28 10:00:00,17
2021-01-28 16:00:00,NA
2021-01-29 10:00:00,17
2021-01-29 16:00:00,19
2021-01-30 10:00:00,17
2021-01-30 16:00:00,18
2021-01-31 10:00:00,17
2021-01-31 16:00:00,NA
2021-02-01 10:00:00,18
2021-02-01 16:00:00,18
2021-02-02 10:00:00,18
2021-02-02 16:00:00,18
2021-02-03 10:00:00,17
2021-02-03 16:00:00,18
2021-02-04 10:00:00,19
2021-02-04 16:00:00,NA
2021-02-05 10:00:00,19
2021-02-05 16:00:00,20
2021-02-06 10:00:00,18
2021-02-06 16:00:00,NA
2021-02-07 10:00:00,18
2021-02-07 16:00:00,NA
2021-02-08 10:00:00,NA
2021-02-08 16:00:00,NA
2021-02-09 10:00:00,19
2021-02-09 16:00:00,18
2021-02-10 10:00:00,18
2021-02-10 16:00:00,18
2021-02-11 10:00:00,17
2021-02-11 16:00:00,NA
2021-02-12 10:00:00,17
2021-02-12 16:00:00,NA
2021-02-13 10:00:00,16
2021-02-13 16:00:00,17
2021-02-14 10:00:00,NA
2021-02-14 16:00:00,NA
2021-02-15 10:00:00,19
2021-02-15 16:00:00,18
2021-02-16 10:00:00,18
