"DAY","kg_feed_day-1"
2020-11-01,NA
2020-11-02,NA
2020-11-03,NA
2020-11-04,NA
2020-11-05,NA
2020-11-06,NA
2020-11-07,NA
2020-11-08,NA
2020-11-09,NA
2020-11-10,NA
2020-11-11,NA
2020-11-12,NA
2020-11-13,NA
2020-11-14,NA
2020-11-15,NA
2020-11-16,NA
2020-11-17,NA
2020-11-18,NA
2020-11-19,NA
2020-11-20,NA
2020-11-21,NA
2020-11-22,NA
2020-11-23,NA
2020-11-24,NA
2020-11-25,NA
2020-11-26,NA
2020-11-27,71.1488
2020-11-28,35.5744
2020-11-29,71.1488
2020-11-30,71.1488
2020-12-01,71.3408
2020-12-02,71.3408
2020-12-03,71.3408
2020-12-04,71.3408
2020-12-05,71.3408
2020-12-06,75.7996
2020-12-07,75.7996
2020-12-08,75.7996
2020-12-09,75.7996
2020-12-10,75.7996
2020-12-11,75.7996
2020-12-12,75.7996
2020-12-13,80.2584
2020-12-14,80.2584
2020-12-15,80.2584
2020-12-16,80.2584
2020-12-17,35.6704
2020-12-18,84.7172
2020-12-19,84.7172
2020-12-20,84.7172
2020-12-21,84.7172
2020-12-22,84.7172
2020-12-23,84.7172
2020-12-24,84.7172
2020-12-25,80.2584
2020-12-26,44.588
2020-12-27,80.2584
2020-12-28,44.588
2020-12-29,80.2584
2020-12-30,80.2584
2020-12-31,80.2584
2021-01-01,87.4608
2021-01-02,87.4608
2021-01-03,87.4608
2021-01-04,41.4288
2021-01-05,87.4608
2021-01-06,87.4608
2021-01-07,87.4608
2021-01-08,87.4608
2021-01-09,87.4608
2021-01-10,87.4608
2021-01-11,87.4608
2021-01-12,46.032
2021-01-13,41.4288
2021-01-14,87.4608
2021-01-15,87.4608
2021-01-16,87.4608
2021-01-17,87.4608
2021-01-18,87.4608
2021-01-19,87.4608
2021-01-20,92.064
2021-01-21,92.064
2021-01-22,92.064
2021-01-23,92.064
2021-01-24,50.6352
2021-01-25,92.064
2021-01-26,96.6672
2021-01-27,96.6672
2021-01-28,96.6672
2021-01-29,96.6672
2021-01-30,96.6672
2021-01-31,96.6672
2021-02-01,58.2192
2021-02-02,111.5868
2021-02-03,111.5868
2021-02-04,111.5868
2021-02-05,116.4384
2021-02-06,53.3676
2021-02-07,87.3288
2021-02-08,116.4384
2021-02-09,63.0708
2021-02-10,116.4384
2021-02-11,63.0708
2021-02-12,53.3676
2021-02-13,63.0708
2021-02-14,116.4384
2021-02-15,116.4384
2021-02-16,116.4384
2021-02-17,116.4384
2021-02-18,116.4384
2021-02-19,116.4384
2021-02-20,121.29
2021-02-21,121.29
2021-02-22,121.29
2021-02-23,121.29
2021-02-24,121.29
2021-02-25,0
2021-02-26,0
2021-02-27,121.29
2021-02-28,63.0708
2021-03-01,60.008
2021-03-02,0
2021-03-03,55.392
2021-03-04,115.4
2021-03-05,115.4
2021-03-06,115.4
2021-03-07,115.4
2021-03-08,115.4
2021-03-09,115.4
2021-03-10,115.4
2021-03-11,0
2021-03-12,115.4
2021-03-13,115.4
2021-03-14,115.4
2021-03-15,115.4
2021-03-16,115.4
2021-03-17,115.4
2021-03-18,115.4
2021-03-19,115.4
2021-03-20,115.4
2021-03-21,115.4
2021-03-22,115.4
2021-03-23,115.4
2021-03-24,60.008
2021-03-25,0
2021-03-26,64.624
2021-03-27,120.016
2021-03-28,120.016
2021-03-29,120.016
2021-03-30,120.016
2021-03-31,120.016
2021-04-01,120.536
2021-04-02,120.536
2021-04-03,129.808
2021-04-04,69.54
2021-04-05,129.808
2021-04-06,129.808
2021-04-07,99.674
2021-04-08,129.808
2021-04-09,129.808
2021-04-10,69.54
2021-04-11,0
2021-04-12,134.444
2021-04-13,134.444
2021-04-14,101.992
2021-04-15,134.444
2021-04-16,69.54
2021-04-17,134.444
2021-04-18,134.444
2021-04-19,134.444
2021-04-20,134.444
2021-04-21,134.444
2021-04-22,69.54
2021-04-23,134.444
2021-04-24,134.444
2021-04-25,69.54
2021-04-26,134.444
2021-04-27,69.54
2021-04-28,64.904
2021-04-29,134.444
2021-04-30,134.444
2021-05-01,119.7
2021-05-02,119.7
2021-05-03,61.9
2021-05-04,57.8
2021-05-05,123.8
2021-05-06,123.8
2021-05-07,123.8
2021-05-08,57.8
2021-05-09,66
2021-05-10,123.8
2021-05-11,123.8
2021-05-12,123.8
2021-05-13,123.8
2021-05-14,123.8
2021-05-15,128
2021-05-16,128
2021-05-17,128
2021-05-18,66
2021-05-19,61.9
2021-05-20,128
2021-05-21,128
2021-05-22,128
2021-05-23,128
2021-05-24,128
2021-05-25,101.1
2021-05-26,101.1
2021-05-27,70.2
2021-05-28,0
2021-05-29,70.2
2021-05-30,132.1
2021-05-31,132.1
2021-06-01,144.6
2021-06-02,144.6
2021-06-03,144.6
2021-06-04,149.2
2021-06-05,149.2
2021-06-06,149.2
2021-06-07,149.2
2021-06-08,72.3
2021-06-09,0
2021-06-10,76.8
