"Group.1","x"
2020-12-01,NA
2020-12-02,NA
2020-12-03,NA
2020-12-04,16
2020-12-05,NA
2020-12-06,NA
2020-12-07,16.5
2020-12-08,NA
2020-12-09,NA
2020-12-10,17.5
2020-12-11,17.5
2020-12-12,17
2020-12-13,NA
2020-12-14,17.5
2020-12-15,17
2020-12-16,NA
2020-12-17,15.5
2020-12-18,16.5
2020-12-19,17.5
2020-12-20,NA
2020-12-21,17
2020-12-22,16
2020-12-23,NA
2020-12-24,NA
2020-12-25,NA
2020-12-26,NA
2020-12-27,NA
2020-12-28,NA
2020-12-29,14.5
2020-12-30,15
2020-12-31,16
2021-01-01,NA
2021-01-02,15
2021-01-03,NA
2021-01-04,14.5
2021-01-05,15
2021-01-06,NA
2021-01-07,NA
2021-01-08,NA
2021-01-09,NA
2021-01-10,NA
2021-01-11,17
2021-01-12,17.5
2021-01-13,16
2021-01-14,16.5
2021-01-15,16.5
2021-01-16,NA
2021-01-17,NA
2021-01-18,17
2021-01-19,18.5
2021-01-20,17.5
2021-01-21,18.5
2021-01-22,16.5
2021-01-23,17
2021-01-24,NA
2021-01-25,16.5
2021-01-26,NA
2021-01-27,18
2021-01-28,NA
2021-01-29,18
2021-01-30,17.5
2021-01-31,NA
2021-02-01,18
2021-02-02,18
2021-02-03,17.5
2021-02-04,NA
2021-02-05,19.5
2021-02-06,NA
2021-02-07,NA
2021-02-08,NA
2021-02-09,18.5
2021-02-10,18
2021-02-11,NA
2021-02-12,NA
2021-02-13,16.5
2021-02-14,NA
2021-02-15,18.5
2021-02-16,18
2021-02-17,18.5
2021-02-18,18.5
2021-02-19,18.5
2021-02-20,19.5
2021-02-21,NA
2021-02-22,19.5
2021-02-23,18
2021-02-24,18
2021-02-25,17.5
2021-02-26,15.5
2021-02-27,NA
2021-02-28,NA
2021-03-01,NA
2021-03-02,14
2021-03-03,16
2021-03-04,17
2021-03-05,NA
2021-03-06,NA
2021-03-07,NA
2021-03-08,NA
2021-03-09,18.5
2021-03-10,18
2021-03-11,17
2021-03-12,NA
2021-03-13,NA
2021-03-14,NA
2021-03-15,NA
2021-03-16,NA
2021-03-17,NA
2021-03-18,NA
2021-03-19,18
2021-03-20,NA
2021-03-21,NA
2021-03-22,NA
2021-03-23,18
2021-03-24,18
2021-03-25,NA
2021-03-26,NA
2021-03-27,NA
2021-03-28,NA
2021-03-29,18.5
2021-03-30,18.5
2021-03-31,NA
2021-04-01,NA
2021-04-02,17
2021-04-03,NA
2021-04-04,NA
2021-04-05,NA
2021-04-06,17.5
2021-04-07,NA
2021-04-08,17.5
2021-04-09,NA
2021-04-10,NA
2021-04-11,NA
2021-04-12,NA
2021-04-13,16.5
2021-04-14,15
2021-04-15,NA
2021-04-16,19.5
2021-04-17,18.5
2021-04-18,NA
2021-04-19,21
2021-04-20,NA
2021-04-21,NA
2021-04-22,NA
2021-04-23,NA
2021-04-24,NA
2021-04-25,NA
2021-04-26,20
2021-04-27,20
2021-04-28,16
2021-04-29,17.5
2021-04-30,NA
2021-05-01,NA
2021-05-02,NA
2021-05-03,NA
2021-05-04,17.5
2021-05-05,NA
2021-05-06,NA
2021-05-07,17.5
2021-05-08,NA
2021-05-09,NA
2021-05-10,NA
2021-05-11,17.5
2021-05-12,18.5
2021-05-13,17.5
2021-05-14,NA
2021-05-15,NA
2021-05-16,NA
2021-05-17,NA
2021-05-18,17
2021-05-19,16.5
2021-05-20,NA
2021-05-21,17
2021-05-22,NA
2021-05-23,NA
2021-05-24,NA
2021-05-25,NA
2021-05-26,NA
2021-05-27,NA
2021-05-28,NA
2021-05-29,NA
2021-05-30,NA
2021-05-31,NA
2021-06-01,NA
2021-06-02,NA
2021-06-03,NA
2021-06-04,NA
2021-06-05,NA
2021-06-06,NA
2021-06-07,NA
2021-06-08,NA
2021-06-09,NA
2021-06-10,NA
2021-06-11,NA
2021-06-12,NA
2021-06-13,NA
2021-06-14,NA
2021-06-15,NA
2021-06-16,NA
2021-06-17,NA
2021-06-18,NA
2021-06-19,NA
2021-06-20,NA
2021-06-21,15
2021-06-22,NA
2021-06-23,NA
2021-06-24,NA
2021-06-25,NA
2021-06-26,NA
2021-06-27,NA
2021-06-28,NA
2021-06-29,NA
2021-06-30,NA
2021-07-01,NA
2021-07-02,NA
2021-07-03,15
2021-07-04,NA
2021-07-05,NA
2021-07-06,NA
2021-07-07,15.5
2021-07-08,17.5
2021-07-09,NA
2021-07-10,NA
2021-07-11,17.5
2021-07-12,NA
2021-07-13,16.5
2021-07-14,NA
2021-07-15,17
2021-07-16,NA
2021-07-17,14.5
2021-07-18,NA
2021-07-19,NA
2021-07-20,NA
2021-07-21,15.5
