"TIME","Oxy.kg/m^3"
2020-11-24 00:48:00,0.00841
2020-11-24 01:48:00,0.00862
2020-11-24 02:48:00,0.00863
2020-11-24 03:48:00,0.0087
2020-11-24 04:48:00,0.00872
2020-11-24 05:48:00,0.00876
2020-11-24 06:48:00,0.00889
2020-11-24 07:48:00,0.00871
2020-11-24 08:48:00,0.00771
2020-11-24 12:10:00,0.00933
2020-11-24 13:10:00,0.00975
2020-11-24 14:10:00,0.0098
2020-11-24 15:10:00,0.00967
2020-11-24 16:10:00,0.01
2020-11-24 17:10:00,0.00824
2020-11-24 18:10:00,0.00802
2020-11-24 19:10:00,0.00809
2020-11-24 20:10:00,0.00814
2020-11-24 21:10:00,0.00812
2020-11-24 22:10:00,0.00817
2020-11-24 23:10:00,0.00819
2020-11-25 00:10:00,0.00827
2020-11-25 01:10:00,0.00824
2020-11-25 02:10:00,0.00829
2020-11-25 03:10:00,0.00831
2020-11-25 04:10:00,0.00835
2020-11-25 05:10:00,0.00833
2020-11-25 06:10:00,0.00833
2020-11-25 07:10:00,0.00838
2020-11-25 08:10:00,0.00838
2020-11-25 09:10:00,0.00871
2020-11-25 10:10:00,0.00896
2020-11-25 11:10:00,0.00937
2020-11-25 12:10:00,0.00969
2020-11-25 13:10:00,0.00975
2020-11-25 14:10:00,0.0099
2020-11-25 15:10:00,0.00974
2020-11-25 16:10:00,0.00921
2020-11-25 17:10:00,0.00814
2020-11-25 18:10:00,0.007
2020-11-25 19:10:00,0.00651
2020-11-25 20:10:00,0.00665
2020-11-25 21:10:00,0.0068
2020-11-25 22:10:00,0.00699
2020-11-25 23:10:00,0.00713
2020-11-26 00:10:00,0.00719
2020-11-26 01:10:00,0.00728
2020-11-26 02:10:00,0.00726
2020-11-26 03:10:00,0.00736
2020-11-26 04:10:00,0.00733
2020-11-26 05:10:00,0.00702
2020-11-26 06:10:00,0.00677
2020-11-26 07:10:00,0.00677
2020-11-26 08:10:00,0.00698
2020-11-26 09:10:00,0.00716
2020-11-26 10:10:00,0.00747
2020-11-26 11:10:00,0.00762
