"TIME","K.kg/m^3"
2020-11-24 00:48:00,0.109
2020-11-24 01:48:00,0.109
2020-11-24 02:48:00,0.109
2020-11-24 03:48:00,0.11
2020-11-24 04:48:00,0.11
2020-11-24 05:48:00,0.11
2020-11-24 06:48:00,0.11
2020-11-24 07:48:00,0.11
2020-11-24 08:48:00,0.12
2020-11-24 12:10:00,0.0702
2020-11-24 13:10:00,0.0867
2020-11-24 14:10:00,0.0858
2020-11-24 15:10:00,0.0853
2020-11-24 16:10:00,0.0852
2020-11-24 17:10:00,0.0855
2020-11-24 18:10:00,0.086
2020-11-24 19:10:00,0.0862
2020-11-24 20:10:00,0.0862
2020-11-24 21:10:00,0.0864
2020-11-24 22:10:00,0.0867
2020-11-24 23:10:00,0.087
2020-11-25 00:10:00,0.0872
2020-11-25 01:10:00,0.0872
2020-11-25 02:10:00,0.0875
2020-11-25 03:10:00,0.0876
2020-11-25 04:10:00,0.0877
2020-11-25 05:10:00,0.088
2020-11-25 06:10:00,0.088
2020-11-25 07:10:00,0.0883
2020-11-25 08:10:00,0.0881
2020-11-25 09:10:00,0.0881
2020-11-25 10:10:00,0.0885
2020-11-25 11:10:00,0.0905
2020-11-25 12:10:00,0.0922
2020-11-25 13:10:00,0.0934
2020-11-25 14:10:00,0.0949
2020-11-25 15:10:00,0.0964
2020-11-25 16:10:00,0.107
2020-11-25 17:10:00,0.119
2020-11-25 18:10:00,0.117
2020-11-25 19:10:00,0.117
2020-11-25 20:10:00,0.118
2020-11-25 21:10:00,0.118
2020-11-25 22:10:00,0.118
2020-11-25 23:10:00,0.118
2020-11-26 00:10:00,0.118
2020-11-26 01:10:00,0.118
2020-11-26 02:10:00,0.118
2020-11-26 03:10:00,0.118
2020-11-26 04:10:00,0.118
2020-11-26 05:10:00,0.118
2020-11-26 06:10:00,0.118
2020-11-26 07:10:00,0.118
2020-11-26 08:10:00,0.118
2020-11-26 09:10:00,0.117
2020-11-26 10:10:00,0.118
2020-11-26 11:10:00,0.117
2020-11-26 12:10:00,0.132
2020-11-26 13:10:00,0.128
2020-11-26 14:10:00,0.127
2020-11-26 15:10:00,0.126
2020-11-26 16:10:00,0.134
2020-11-26 17:10:00,0.134
2020-11-26 18:10:00,0.133
2020-11-26 19:10:00,0.132
2020-11-26 20:10:00,0.131
2020-11-26 21:10:00,0.13
2020-11-26 22:10:00,0.129
2020-11-26 23:10:00,0.129
2020-11-27 00:10:00,0.128
2020-11-27 01:10:00,0.128
2020-11-27 02:10:00,0.127
2020-11-27 03:10:00,0.127
2020-11-27 04:10:00,0.126
2020-11-27 05:10:00,0.126
2020-11-27 06:10:00,0.125
2020-11-27 07:10:00,0.125
2020-11-27 08:10:00,0.125
2020-11-27 09:10:00,0.124
2020-11-27 10:10:00,0.124
2020-11-27 11:10:00,0.123
2020-11-27 12:10:00,0.129
2020-11-27 13:10:00,0.128
2020-11-27 14:10:00,0.128
2020-11-27 15:10:00,0.127
2020-11-27 16:10:00,0.126
2020-11-27 17:10:00,0.126
2020-11-27 18:10:00,0.126
2020-11-27 19:10:00,0.127
2020-11-27 20:10:00,0.127
2020-11-27 21:10:00,0.126
2020-11-27 22:10:00,0.127
2020-11-27 23:10:00,0.127
2020-11-28 00:10:00,0.127
2020-11-28 01:10:00,0.126
2020-11-28 02:10:00,0.126
2020-11-28 03:10:00,0.126
2020-11-28 04:10:00,0.126
2020-11-28 05:10:00,0.126
2020-11-28 06:10:00,0.126
2020-11-28 07:10:00,0.126
2020-11-28 08:10:00,0.126
2020-11-28 09:10:00,0.126
2020-11-28 10:10:00,0.126
2020-11-28 11:10:00,0.125
2020-11-28 12:10:00,0.125
2020-11-28 13:10:00,0.125
2020-11-28 14:10:00,0.125
2020-11-28 15:10:00,0.124
2020-11-28 16:10:00,0.124
2020-11-28 17:10:00,0.124
2020-11-28 18:10:00,0.125
2020-11-28 19:10:00,0.125
2020-11-28 20:10:00,0.126
2020-11-28 21:10:00,0.126
2020-11-28 22:10:00,0.126
2020-11-28 23:10:00,0.127
2020-11-29 00:10:00,0.127
2020-11-29 01:10:00,0.127
2020-11-29 02:10:00,0.127
2020-11-29 03:10:00,0.127
2020-11-29 04:10:00,0.127
2020-11-29 05:10:00,0.127
2020-11-29 06:10:00,0.127
2020-11-29 07:10:00,0.127
2020-11-29 08:10:00,0.126
2020-11-29 09:10:00,0.126
2020-11-29 10:10:00,0.126
2020-11-29 11:10:00,0.126
2020-11-29 12:10:00,0.125
2020-11-29 13:10:00,0.124
2020-11-29 14:10:00,0.124
2020-11-29 15:10:00,0.123
2020-11-29 16:10:00,0.122
2020-11-29 17:10:00,0.123
2020-11-29 18:10:00,0.123
2020-11-29 19:10:00,0.124
2020-11-29 20:10:00,0.124
2020-11-29 21:10:00,0.124
2020-11-29 22:10:00,0.124
2020-11-29 23:10:00,0.125
2020-11-30 00:10:00,0.125
2020-11-30 01:10:00,0.125
2020-11-30 02:10:00,0.125
2020-11-30 03:10:00,0.125
2020-11-30 04:10:00,0.125
2020-11-30 05:10:00,0.126
2020-11-30 06:10:00,0.125
2020-11-30 07:10:00,0.126
2020-11-30 08:10:00,0.126
2020-11-30 09:10:00,0.126
2020-11-30 10:10:00,0.125
2020-11-30 11:10:00,0.125
2020-11-30 12:10:00,0.124
2020-11-30 13:10:00,0.123
2020-11-30 14:10:00,0.123
2020-11-30 15:10:00,0.122
2020-11-30 16:10:00,0.122
2020-11-30 17:10:00,0.122
2020-11-30 18:10:00,0.122
2020-11-30 19:10:00,0.122
2020-11-30 20:10:00,0.123
2020-11-30 21:10:00,0.123
2020-11-30 22:10:00,0.124
2020-11-30 23:10:00,0.124
2020-12-01 00:10:00,0.124
2020-12-01 01:10:00,0.124
2020-12-01 02:10:00,0.124
2020-12-01 03:10:00,0.125
2020-12-01 04:10:00,0.124
2020-12-01 05:10:00,0.124
2020-12-01 06:10:00,0.124
2020-12-01 07:10:00,0.124
2020-12-01 08:10:00,0.124
2020-12-01 09:10:00,0.124
2020-12-01 11:55:00,0.122
2020-12-01 12:55:00,0.122
2020-12-01 13:55:00,0.122
2020-12-01 14:55:00,0.121
2020-12-01 15:55:00,0.121
2020-12-01 16:55:00,0.121
2020-12-01 17:55:00,0.121
2020-12-01 18:55:00,0.121
2020-12-01 19:55:00,0.121
2020-12-01 20:55:00,0.121
2020-12-01 21:55:00,0.122
2020-12-01 22:55:00,0.122
2020-12-01 23:55:00,0.122
2020-12-02 00:55:00,0.122
2020-12-02 01:55:00,0.122
2020-12-02 02:55:00,0.122
2020-12-02 03:55:00,0.122
2020-12-02 04:55:00,0.122
2020-12-02 05:55:00,0.122
2020-12-02 06:55:00,0.122
2020-12-02 07:55:00,0.122
2020-12-02 08:55:00,0.122
2020-12-02 09:55:00,0.057
2020-12-02 10:55:00,0.123
2020-12-02 11:55:00,0.123
2020-12-02 12:55:00,0.123
2020-12-02 13:55:00,0.123
2020-12-02 14:55:00,0.123
2020-12-02 15:55:00,0.123
2020-12-02 16:55:00,0.123
2020-12-02 17:55:00,0.123
2020-12-02 18:55:00,0.122
2020-12-02 19:55:00,0.123
2020-12-02 20:55:00,0.123
2020-12-02 21:55:00,0.123
2020-12-02 22:55:00,0.123
2020-12-02 23:55:00,0.123
2020-12-03 00:55:00,0.123
2020-12-03 01:55:00,0.123
2020-12-03 02:55:00,0.123
2020-12-03 03:55:00,0.122
2020-12-03 04:55:00,0.122
2020-12-03 05:55:00,0.122
2020-12-03 06:55:00,0.123
2020-12-03 07:55:00,0.122
2020-12-03 08:55:00,0.122
2020-12-03 10:55:00,0.123
2020-12-03 11:55:00,0.147
2020-12-03 12:55:00,0.15
2020-12-03 13:55:00,0.232
2020-12-03 14:55:00,1.34
2020-12-03 15:16:00,0.113
2020-12-03 15:17:00,0.115
2020-12-03 15:17:00,0.114
2020-12-03 16:17:00,0.123
2020-12-03 17:17:00,39.1
2020-12-03 18:17:00,39.1
2020-12-03 19:17:00,39.1
2020-12-03 20:17:00,39.1
2020-12-03 21:17:00,39.1
2020-12-03 22:17:00,39.1
2020-12-03 23:17:00,39.1
2020-12-04 00:17:00,39.1
2020-12-04 01:17:00,39.1
2020-12-04 02:17:00,39.1
2020-12-04 03:17:00,39.1
2020-12-04 04:17:00,39.1
2020-12-04 05:17:00,39.1
2020-12-04 06:17:00,39.1
2020-12-04 07:17:00,39.1
2020-12-04 08:17:00,39.1
2020-12-04 09:17:00,39.1
2020-12-04 10:17:00,1.34
2020-12-04 11:17:00,0.901
2020-12-04 12:17:00,39.1
2020-12-04 13:17:00,39.1
2020-12-04 14:17:00,39.1
2020-12-04 15:17:00,39.1
2020-12-04 16:17:00,39.1
2020-12-04 17:17:00,39.1
2020-12-04 18:17:00,39.1
2020-12-04 19:17:00,39.1
2020-12-04 20:17:00,39.1
2020-12-04 21:17:00,39.1
2020-12-04 22:17:00,39.1
2020-12-04 23:17:00,39.1
2020-12-05 00:17:00,39.1
2020-12-05 01:17:00,39.1
2020-12-05 02:17:00,39.1
2020-12-05 04:47:00,39.1
2020-12-05 05:47:00,39.1
2020-12-05 06:47:00,39.1
2020-12-05 07:47:00,39.1
2020-12-05 08:47:00,39.1
2020-12-05 09:47:00,39.1
2020-12-05 11:04:00,39.1
2020-12-05 12:04:00,39.1
2020-12-05 13:04:00,39.1
2020-12-05 14:04:00,39.1
2020-12-05 15:04:00,39.1
2020-12-05 16:04:00,39.1
2020-12-05 17:04:00,39.1
2020-12-05 18:04:00,39.1
2020-12-05 19:04:00,39.1
2020-12-05 20:04:00,39.1
2020-12-05 21:04:00,39.1
2020-12-05 22:04:00,39.1
2020-12-05 23:47:00,39.1
2020-12-06 00:47:00,39.1
2020-12-06 01:47:00,39.1
2020-12-06 02:47:00,39.1
2020-12-06 03:47:00,39.1
2020-12-06 04:47:00,39.1
2020-12-06 05:47:00,39.1
2020-12-06 06:47:00,39.1
2020-12-06 07:47:00,39.1
2020-12-06 08:47:00,39.1
2020-12-06 09:47:00,39.1
2020-12-06 10:47:00,39.1
2020-12-06 11:47:00,39.1
2020-12-06 12:47:00,39.1
2020-12-06 13:47:00,39.1
2020-12-06 14:47:00,39.1
