"TIME","pH"
2020-11-24 00:48:00,7.27
2020-11-24 01:48:00,7.27
2020-11-24 02:48:00,7.32
2020-11-24 03:48:00,7.34
2020-11-24 04:48:00,7.34
2020-11-24 05:48:00,7.33
2020-11-24 06:48:00,7.33
2020-11-24 07:48:00,7.33
2020-11-24 08:48:00,7.28
2020-11-24 12:10:00,7.22
2020-11-24 13:10:00,7.55
2020-11-24 14:10:00,7.6
2020-11-24 15:10:00,7.57
2020-11-24 16:10:00,7.64
2020-11-24 17:10:00,7.6
2020-11-24 18:10:00,7.58
2020-11-24 19:10:00,7.55
2020-11-24 20:10:00,7.6
2020-11-24 21:10:00,7.58
2020-11-24 22:10:00,7.6
2020-11-24 23:10:00,7.59
2020-11-25 00:10:00,7.62
2020-11-25 01:10:00,7.6
2020-11-25 02:10:00,7.63
2020-11-25 03:10:00,7.6
2020-11-25 04:10:00,7.64
2020-11-25 05:10:00,7.68
2020-11-25 06:10:00,7.62
2020-11-25 07:10:00,7.66
2020-11-25 08:10:00,7.65
2020-11-25 09:10:00,7.66
2020-11-25 10:10:00,7.71
2020-11-25 11:10:00,7.65
2020-11-25 12:10:00,7.65
2020-11-25 13:10:00,7.61
2020-11-25 14:10:00,7.61
2020-11-25 15:10:00,7.62
2020-11-25 16:10:00,7.64
2020-11-25 17:10:00,7.6
2020-11-25 18:10:00,7.59
2020-11-25 19:10:00,7.55
2020-11-25 20:10:00,7.61
2020-11-25 21:10:00,7.61
2020-11-25 22:10:00,7.64
2020-11-25 23:10:00,7.65
2020-11-26 00:10:00,7.63
2020-11-26 01:10:00,7.66
2020-11-26 02:10:00,7.63
2020-11-26 03:10:00,7.6
2020-11-26 04:10:00,7.52
2020-11-26 05:10:00,7.63
2020-11-26 06:10:00,7.64
2020-11-26 07:10:00,7.63
2020-11-26 08:10:00,7.59
2020-11-26 09:10:00,7.62
2020-11-26 10:10:00,7.6
2020-11-26 11:10:00,7.6
2020-11-26 12:10:00,7.6
2020-11-26 13:10:00,7.58
2020-11-26 14:10:00,7.64
2020-11-26 15:10:00,7.6
2020-11-26 16:10:00,7.62
2020-11-26 17:10:00,7.59
2020-11-26 18:10:00,7.57
2020-11-26 19:10:00,7.6
2020-11-26 20:10:00,7.59
2020-11-26 21:10:00,7.62
2020-11-26 22:10:00,7.62
2020-11-26 23:10:00,7.61
2020-11-27 00:10:00,7.57
2020-11-27 01:10:00,7.62
2020-11-27 02:10:00,7.64
2020-11-27 03:10:00,7.62
2020-11-27 04:10:00,7.64
2020-11-27 05:10:00,7.61
2020-11-27 06:10:00,7.66
2020-11-27 07:10:00,7.62
2020-11-27 08:10:00,7.61
2020-11-27 09:10:00,7.63
2020-11-27 10:10:00,7.6
2020-11-27 11:10:00,7.62
